t,rI_x,rI_y,rI_z,vI_x,vI_y,vI_z,aI_x,aI_y,aI_z,xI_x,xI_y,xI_z,
0.375,1.944739841,0.466890728,1,-0.293356096,1.221916079,0,-0.767752516,-0.184321071,0,-0.869714097,-0.208799881,-0.447213595,
0.38,1.943263466,0.472997994,1,-0.297193405,1.220988446,0,-0.767169666,-0.186732123,0,-0.869053842,-0.211531134,-0.447213595,
0.385,1.941767912,0.479100592,1,-0.30102778,1.220048761,0,-0.766579245,-0.189141332,0,-0.868385009,-0.214260298,-0.447213595,
0.39,1.940253193,0.485198462,1,-0.304859184,1.219097035,0,-0.765981258,-0.191548675,0,-0.867707607,-0.216987349,-0.447213595,
0.395,1.938719325,0.491291542,1,-0.30868758,1.218133278,0,-0.765375711,-0.193954127,0,-0.86702164,-0.219712257,-0.447213595,
0.4,1.937166322,0.497379774,1,-0.312512929,1.217157497,0,-0.76476261,-0.196357664,0,-0.866327116,-0.222434997,-0.447213595,
0.405,1.935594201,0.503463097,1,-0.316335194,1.216169704,0,-0.764141962,-0.198759264,0,-0.865624042,-0.225155542,-0.447213595,
0.41,1.934002976,0.509541451,1,-0.320154336,1.215169908,0,-0.763513771,-0.201158902,0,-0.864912424,-0.227873865,-0.447213595,
0.415,1.932392663,0.515614776,1,-0.323970319,1.214158119,0,-0.762878045,-0.203556555,0,-0.864192271,-0.230589938,-0.447213595,
0.42,1.930763278,0.521683013,1,-0.327783104,1.213134346,0,-0.76223479,-0.205952198,0,-0.863463587,-0.233303736,-0.447213595,
0.425,1.929114837,0.5277461,1,-0.331592654,1.2120986,0,-0.761584011,-0.208345809,0,-0.862726382,-0.236015231,-0.447213595,
0.43,1.927447357,0.533803979,1,-0.335398932,1.211050891,0,-0.760925717,-0.210737364,0,-0.861980662,-0.238724397,-0.447213595,
0.435,1.925760853,0.539856589,1,-0.339201899,1.20999123,0,-0.760259912,-0.213126839,0,-0.861226435,-0.241431206,-0.447213595,
0.44,1.924055343,0.545903871,1,-0.343001518,1.208919626,0,-0.759586603,-0.21551421,0,-0.860463708,-0.244135633,-0.447213595,
0.445,1.922330844,0.551945765,1,-0.346797752,1.207836091,0,-0.758905798,-0.217899454,0,-0.859692488,-0.24683765,-0.447213595,
0.45,1.920587371,0.557982212,1,-0.350590564,1.206740635,0,-0.758217503,-0.220282548,0,-0.858912784,-0.249537231,-0.447213595,
0.455,1.918824944,0.564013152,1,-0.354379915,1.205633269,0,-0.757521724,-0.222663467,0,-0.858124602,-0.25223435,-0.447213595,
0.46,1.917043578,0.570038525,1,-0.358165768,1.204514004,0,-0.756818469,-0.225042189,0,-0.857327951,-0.254928978,-0.447213595,
0.465,1.915243292,0.576058272,1,-0.361948087,1.203382851,0,-0.756107745,-0.22741869,0,-0.856522839,-0.257621091,-0.447213595,
0.47,1.913424103,0.582072334,1,-0.365726833,1.202239821,0,-0.755389558,-0.229792947,0,-0.855709273,-0.260310661,-0.447213595,
0.475,1.91158603,0.58808065,1,-0.36950197,1.201084925,0,-0.754663916,-0.232164935,0,-0.854887261,-0.262997662,-0.447213595,
0.48,1.909729089,0.594083163,1,-0.37327346,1.199918176,0,-0.753930825,-0.234534632,0,-0.854056813,-0.265682067,-0.447213595,
0.485,1.907853301,0.600079812,1,-0.377041266,1.198739583,0,-0.753190294,-0.236902014,0,-0.853217934,-0.268363851,-0.447213595,
0.49,1.905958683,0.606070539,1,-0.380805351,1.197549159,0,-0.752442328,-0.239267058,0,-0.852370636,-0.271042985,-0.447213595,
0.495,1.904045254,0.612055284,1,-0.384565677,1.196346916,0,-0.751686937,-0.241629741,0,-0.851514924,-0.273719444,-0.447213595,
0.5,1.902113033,0.618033989,1,-0.388322208,1.195132866,0,-0.750924126,-0.243990039,0,-0.850650808,-0.276393202,-0.447213595,
0.505,1.900162038,0.624006593,1,-0.392074906,1.19390702,0,-0.750153905,-0.246347929,0,-0.849778297,-0.279064232,-0.447213595,
0.51,1.89819229,0.629973039,1,-0.395823734,1.192669391,0,-0.749376279,-0.248703387,0,-0.848897399,-0.281732508,-0.447213595,
0.515,1.896203807,0.635933268,1,-0.399568656,1.19141999,0,-0.748591258,-0.251056391,0,-0.848008122,-0.284398003,-0.447213595,
0.52,1.89419661,0.64188722,1,-0.403309635,1.190158831,0,-0.747798848,-0.253406917,0,-0.847110477,-0.287060691,-0.447213595,
0.525,1.892170718,0.647834836,1,-0.407046633,1.188885925,0,-0.746999058,-0.255754942,0,-0.84620447,-0.289720546,-0.447213595,
0.53,1.89012615,0.653776059,1,-0.410779613,1.187601286,0,-0.746191895,-0.258100443,0,-0.845290112,-0.292377542,-0.447213595,
0.535,1.888062928,0.65971083,1,-0.414508539,1.186304925,0,-0.745377367,-0.260443396,0,-0.844367411,-0.295031652,-0.447213595,
0.54,1.885981072,0.665639089,1,-0.418233374,1.184996856,0,-0.744555483,-0.262783779,0,-0.843436376,-0.29768285,-0.447213595,
0.545,1.883880601,0.671560779,1,-0.421954082,1.183677092,0,-0.743726251,-0.265121569,0,-0.842497017,-0.30033111,-0.447213595,
0.55,1.881761538,0.67747584,1,-0.425670625,1.182345645,0,-0.742889678,-0.267456741,0,-0.841549343,-0.302976406,-0.447213595,
0.555,1.879623902,0.683384216,1,-0.429382966,1.181002529,0,-0.742045773,-0.269789275,0,-0.840593363,-0.305618712,-0.447213595,
0.56,1.877467715,0.689285846,1,-0.43309107,1.179647756,0,-0.741194545,-0.272119145,0,-0.839629087,-0.308258002,-0.447213595,
0.565,1.875292999,0.695180674,1,-0.4367949,1.178281342,0,-0.740336001,-0.27444633,0,-0.838656525,-0.310894249,-0.447213595,
0.57,1.873099773,0.70106864,1,-0.440494418,1.176903298,0,-0.739470151,-0.276770806,0,-0.837675684,-0.313527427,-0.447213595,
0.575,1.870888062,0.706949688,1,-0.444189589,1.175513638,0,-0.738597002,-0.27909255,0,-0.836686577,-0.316157512,-0.447213595,
0.58,1.868657885,0.712823757,1,-0.447880376,1.174112377,0,-0.737716563,-0.28141154,0,-0.835689211,-0.318784476,-0.447213595,
0.585,1.866409265,0.718690792,1,-0.451566742,1.172699527,0,-0.736828844,-0.283727752,0,-0.834683598,-0.321408293,-0.447213595,
0.59,1.864142225,0.724550733,1,-0.455248652,1.171275104,0,-0.735933852,-0.286041164,0,-0.833669747,-0.324028939,-0.447213595,
0.595,1.861856786,0.730403524,1,-0.458926069,1.16983912,0,-0.735031597,-0.288351753,0,-0.832647668,-0.326646386,-0.447213595,
0.6,1.859552972,0.736249105,1,-0.462598956,1.168391591,0,-0.734122088,-0.290659496,0,-0.831617371,-0.32926061,-0.447213595,
0.605,1.857230804,0.74208742,1,-0.466267278,1.16693253,0,-0.733205333,-0.292964371,0,-0.830578866,-0.331871583,-0.447213595,
0.61,1.854890307,0.747918411,1,-0.469930997,1.165461952,0,-0.732281341,-0.295266354,0,-0.829532163,-0.334479282,-0.447213595,
0.615,1.852531502,0.753742021,1,-0.473590079,1.163979871,0,-0.731350123,-0.297565423,0,-0.828477274,-0.337083679,-0.447213595,
0.62,1.850154414,0.759558191,1,-0.477244487,1.162486303,0,-0.730411686,-0.299861555,0,-0.827414208,-0.33968475,-0.447213595,
0.625,1.847759065,0.765366865,1,-0.480894184,1.160981261,0,-0.72946604,-0.302154727,0,-0.826342975,-0.342282467,-0.447213595,
0.63,1.84534548,0.771167985,1,-0.484539135,1.15946476,0,-0.728513195,-0.304444917,0,-0.825263587,-0.344876807,-0.447213595,
0.635,1.842913682,0.776961493,1,-0.488179304,1.157936817,0,-0.727553159,-0.306732103,0,-0.824176054,-0.347467743,-0.447213595,
0.64,1.840463695,0.782747334,1,-0.491814655,1.156397445,0,-0.726585943,-0.309016261,0,-0.823080386,-0.350055249,-0.447213595,
0.645,1.837995543,0.788525449,1,-0.495445151,1.154846659,0,-0.725611556,-0.31129737,0,-0.821976595,-0.352639301,-0.447213595,
0.65,1.835509251,0.794295781,1,-0.499070758,1.153284476,0,-0.724630007,-0.313575406,0,-0.820864692,-0.355219872,-0.447213595,
0.655,1.833004844,0.800058274,1,-0.50269144,1.15171091,0,-0.723641307,-0.315850347,0,-0.819744687,-0.357796938,-0.447213595,
0.66,1.830482345,0.805812871,1,-0.506307159,1.150125978,0,-0.722645464,-0.31812217,0,-0.818616591,-0.360370472,-0.447213595,
0.665,1.827941781,0.811559515,1,-0.509917882,1.148529694,0,-0.72164249,-0.320390855,0,-0.817480416,-0.362940449,-0.447213595,
0.67,1.825383175,0.817298149,1,-0.513523572,1.146922074,0,-0.720632393,-0.322656377,0,-0.816336173,-0.365506844,-0.447213595,
0.675,1.822806553,0.823028717,1,-0.517124194,1.145303135,0,-0.719615183,-0.324918714,0,-0.815183873,-0.368069632,-0.447213595,
0.68,1.820211941,0.828751162,1,-0.520719712,1.143672893,0,-0.718590871,-0.327177845,0,-0.814023527,-0.370628787,-0.447213595,
0.685,1.817599365,0.834465427,1,-0.524310091,1.142031362,0,-0.717559468,-0.329433746,0,-0.812855147,-0.373184284,-0.447213595,
0.69,1.814968849,0.840171457,1,-0.527895295,1.140378561,0,-0.716520982,-0.331686396,0,-0.811678745,-0.375736098,-0.447213595,
0.695,1.81232042,0.845869194,1,-0.531475289,1.138714504,0,-0.715475424,-0.333935773,0,-0.810494331,-0.378284204,-0.447213595,
0.7,1.809654105,0.851558583,1,-0.535050038,1.137039208,0,-0.714422805,-0.336181854,0,-0.809301919,-0.380828576,-0.447213595,
0.705,1.806969929,0.857239568,1,-0.538619506,1.135352691,0,-0.713363135,-0.338424616,0,-0.808101519,-0.383369189,-0.447213595,
0.71,1.804267919,0.862912091,1,-0.542183657,1.133654968,0,-0.712296424,-0.340664039,0,-0.806893143,-0.385906019,-0.447213595,
0.715,1.801548101,0.868576099,1,-0.545742458,1.131946056,0,-0.711222683,-0.342900099,0,-0.805676804,-0.38843904,-0.447213595,
0.72,1.798810503,0.874231533,1,-0.549295873,1.130225972,0,-0.710141922,-0.345132776,0,-0.804452513,-0.390968227,-0.447213595,
0.725,1.796055152,0.87987834,1,-0.552843866,1.128494734,0,-0.709054153,-0.347362045,0,-0.803220282,-0.393493556,-0.447213595,
0.73,1.793282074,0.885516462,1,-0.556386402,1.126752358,0,-0.707959386,-0.349587887,0,-0.801980124,-0.396015001,-0.447213595,
0.735,1.790491297,0.891145845,1,-0.559923448,1.124998861,0,-0.706857631,-0.351810278,0,-0.80073205,-0.398532537,-0.447213595,
0.74,1.787682848,0.896766432,1,-0.563454967,1.123234261,0,-0.7057489,-0.354029197,0,-0.799476074,-0.40104614,-0.447213595,
0.745,1.784856756,0.902378169,1,-0.566980925,1.121458575,0,-0.704633204,-0.356244622,0,-0.798212207,-0.403555785,-0.447213595,
0.75,1.782013048,0.907980999,1,-0.570501288,1.11967182,0,-0.703510553,-0.358456531,0,-0.796940463,-0.406061447,-0.447213595,
0.755,1.779151753,0.913574869,1,-0.574016019,1.117874015,0,-0.702380959,-0.360664902,0,-0.795660852,-0.408563102,-0.447213595,
0.76,1.776272898,0.919159721,1,-0.577525086,1.116065177,0,-0.701244432,-0.362869713,0,-0.794373389,-0.411060724,-0.447213595,
0.765,1.773376511,0.924735502,1,-0.581028452,1.114245324,0,-0.700100985,-0.365070943,0,-0.793078086,-0.413554289,-0.447213595,
0.77,1.770462623,0.930302156,1,-0.584526084,1.112414474,0,-0.698950628,-0.36726857,0,-0.791774955,-0.416043772,-0.447213595,
0.775,1.76753126,0.935859629,1,-0.588017947,1.110572644,0,-0.697793372,-0.369462572,0,-0.79046401,-0.418529149,-0.447213595,
0.78,1.764582453,0.941407864,1,-0.591504006,1.108719854,0,-0.69662923,-0.371652928,0,-0.789145263,-0.421010396,-0.447213595,
0.785,1.76161623,0.946946809,1,-0.594984228,1.106856121,0,-0.695458212,-0.373839616,0,-0.787818728,-0.423487487,-0.447213595,
0.79,1.75863262,0.952476407,1,-0.598458577,1.104981464,0,-0.69428033,-0.376022614,0,-0.786484417,-0.425960399,-0.447213595,
0.795,1.755631654,0.957996605,1,-0.601927019,1.103095901,0,-0.693095596,-0.3782019,0,-0.785142344,-0.428429106,-0.447213595,
0.8,1.75261336,0.963507348,1,-0.605389521,1.101199451,0,-0.691904021,-0.380377455,0,-0.783792522,-0.430893585,-0.447213595,
0.805,1.749577769,0.969008582,1,-0.608846048,1.099292133,0,-0.690705618,-0.382549255,0,-0.782434965,-0.433353812,-0.447213595,
0.81,1.74652491,0.974500251,1,-0.612296566,1.097373965,0,-0.689500397,-0.384717279,0,-0.781069684,-0.435809761,-0.447213595,
